,Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context,Example source,grammatical_categories
1236, Я,ююнхи,Я ,ихнюю, ,породу знаю -- жилистые люди. ,Ю. П. Герман. Россия молодая. Часть первая (1952),Ю. П. Герман,1910,Россия молодая. Часть первая,1952,художественная,роман,,Ю. Герман. Россия молодая. Книга 1,1954,книга,омонимия снята автоматически,Я ихнюю породу знаю -- жилистые люди. ,22748:4648:1,inan sing femn
1237, ялоД,яянхи,Доля ,ихняя, ,"вроде бы и никакая, -- чего рыбаки",Ю. П. Герман. Россия молодая. Часть первая (1952),Ю. П. Герман,1910,Россия молодая. Часть первая,1952,художественная,роман,,Ю. Герман. Россия молодая. Книга 1,1954,книга,омонимия снята автоматически,"Доля ихняя вроде бы и никакая, -- чего рыбаки не берут, то им годится. ",22748:4857:1,anim plur masc
1238," аселет монерх мытрет ,ьтирапоп екьнаб в",еинхи,"в баньке попарить, тертым хреном телеса ",ихние, ,"натереть, а потом и еды, да",Ю. П. Герман. Россия молодая. Часть первая (1952),Ю. П. Герман,1910,Россия молодая. Часть первая,1952,художественная,роман,,Ю. Герман. Россия молодая. Книга 1,1954,книга,омонимия снята автоматически,"Их перво-наперво в баньке попарить, тертым хреном телеса ихние натереть, а потом и еды, да не вволю, а с бережением, чтобы не вспучило пустое брюхо, да не раз с бережением, а два, три... ",22748:6230:8,inan sing femn
1239," месв ыннолкс ,ьжетсан ишу выркто ,ым",минхи,"мы, открыв уши настежь, склонны всем ",ихним, ,еретическим суесловиям верить. ,Ю. П. Герман. Россия молодая. Часть первая (1952),Ю. П. Герман,1910,Россия молодая. Часть первая,1952,художественная,роман,,Ю. Герман. Россия молодая. Книга 1,1954,книга,омонимия снята автоматически,"Немцы не прямые нам доброхоты, -- читал Молчан, -- а мы, открыв уши настежь, склонны всем ихним еретическим суесловиям верить. ",22748:6593:14,inan plur neut
1240, --,минхИ,-- ,Ихним, ,"матросам достается, не все гульба... ",Ю. П. Герман. Россия молодая. Часть первая (1952),Ю. П. Герман,1910,Россия молодая. Часть первая,1952,художественная,роман,,Ю. Герман. Россия молодая. Книга 1,1954,книга,омонимия снята автоматически,"Ихним матросам достается, не все гульба... ",22748:6951:0,anim plur masc
1241," овтсечепук ,ыцдналлоГ",еенхи,"Голландцы, купечество ",ихнее,", ","говорят -- давеча Флам поведал, -- без Балтики",Ю. П. Герман. Россия молодая. Часть первая (1952),Ю. П. Герман,1910,Россия молодая. Часть первая,1952,художественная,роман,,Ю. Герман. Россия молодая. Книга 1,1954,книга,омонимия снята автоматически,"Голландцы, купечество ихнее, говорят -- давеча Флам поведал, -- без Балтики-де вдесятеро хуже московитам, нежели бы с гаванями там. ",22748:8777:2,anim plur femn
1242, в я лунялгаз ачеваД,ююнхи,Давеча заглянул я в ,ихнюю, ,горницу -- Сильвестр Петрович боярыне своей косу,Ю. П. Герман. Россия молодая. Часть первая (1952),Ю. П. Герман,1910,Россия молодая. Часть первая,1952,художественная,роман,,Ю. Герман. Россия молодая. Книга 1,1954,книга,омонимия снята автоматически,Давеча заглянул я в ихнюю горницу -- Сильвестр Петрович боярыне своей косу заплетает. ,22748:10269:4,inan sing femn
1243," ,утоловс имыннос йокснилголеБ доП",йинхи,"Под Белоглинской сонными сволоту, ",ихний, ,"разъезд, захватили: один прапорщик молоденький, сукин",Р. Б. Гуль. Конь рыжий (1952),Р. Б. Гуль,1896,Конь рыжий,1952,художественная,роман,,,,книга,омонимия снята автоматически,"Под Белоглинской сонными сволоту, ихний разъезд, захватили: один прапорщик молоденький, сукин сын, годов двадцать, не боле, сгробастал я его, молись, кричу, буржуйский выродок на мою портянку, -- а Семка руки ему назад вяжет; нет, говорит, постой, мы энтого буржуя ще по степи потаскаем, по-кавалерийски, -- в вагоне захохотали, -- тащит он его к седлу, а прапорщик помертвел, аж синий, а всё не сдается, гад, и взяла меня тут такая злоба, как садану я ему штыком в брюхо, он кричит, стерва, как заяц... -- слышно как рассказчик сплевывает и жирно растирает в темноте плевок подметкой. ",22879:2335:4,inan sing masc
1244, в и я лыБ,йенхи,Был я и в ,ихней, ,"столице, ну и что же? ",Р. Б. Гуль. Конь рыжий (1952),Р. Б. Гуль,1896,Конь рыжий,1952,художественная,роман,,,,книга,омонимия снята автоматически,"Был я и в ихней столице, ну и что же? ",22879:3006:4,inan sing femn
1245,,ююнхИ,,Ихнюю, ,"кассиршу взяли куда-то на ревизию, и",А. И. Дмитриев. Дневник (1952),А. И. Дмитриев,1918,Дневник,1952,бытовая | нехудожественная,"дневник, записные книжки",частная жизнь | производство,,,электронный текст,омонимия снята автоматически,"Ихнюю кассиршу взяли куда-то на ревизию, и работать некому. ",74156:619:0,anim sing femn
1246, тереб еН,йинхи,Не берет ,ихний, ,"огонь русскую землю, -- говорил, тряся головой",В. В. Овечкин. Упрямый хутор (1952),В. В. Овечкин,1904,Упрямый хутор,1952,художественная,рассказ,,Овечкин В. Избранные произведения. В 2-х тт,1963,книга,омонимия снята автоматически,"Не берет ихний огонь русскую землю, -- говорил, тряся головой, старик, хозяин хаты, где расположился лейтенант Дорохин со старшиной, телефонистами и связными. ",126674:11:2,inan sing masc
1247, --,йинхИ,-- ,Ихний, ,кэле велит помогать всем бедным. ,Юрий Рытхэу. Новогодняя ночь (1952),Юрий Рытхэу,1930,Новогодняя ночь,1952,художественная,рассказ,,Ю. С. Рытхэу. Люди нашего берега,1953,книга,омонимия снята автоматически,Ихний кэле велит помогать всем бедным. ,23823:227:0,inan sing masc
1248, яслаледс Я,йинхи,Я сделался ,ихний,. ,,Нина Федорова. Семья [автоперевод] (1952),Нина Федорова,1895,Семья [автоперевод],1952,художественная,роман,,Роман-газета,1992,книга,омонимия снята автоматически,Я сделался ихний. ,22692:6216:2,
1249," моресиб а( ресиб ,йынчиприк йач ,иларб",еинхи,"брали, чай кирпичный, бисер (а бисером ",ихние, ,"бабы одежу расшивают), коленкор, ситец, конешно",А. С. Эфрон. Мироедиха (1952),А. С. Эфрон,1912,Мироедиха,1952,художественная,рассказ,,,,книга,омонимия снята автоматически,"Это, значит, перво-наперво водки ты им давай, потом посуду сильно брали, чай кирпичный, бисер (а бисером ихние бабы одежу расшивают), коленкор, ситец, конешно дело, ну и мелочь всякую разную, лишь бы блестело. ",22616:149:16,anim sing femn
1250," ьтавижбо ,доран ьтсе от йынвалсоварп ,илатс",еинхи,"стали, православный то есть народ, обживать ",ихние, ,"места, то духовенства наши самым первым",А. С. Эфрон. Мироедиха (1952),А. С. Эфрон,1912,Мироедиха,1952,художественная,рассказ,,,,книга,омонимия снята автоматически,"А как мы стали, православный то есть народ, обживать ихние места, то духовенства наши самым первым делом начали крестить их в нашу веру, о душе, значит, беспокоиться. ",22616:169:9,inan sing neut
1251, акнелапс мат уроп от-юовт В,яянхи,В твою-то пору там спаленка ,ихняя, ,"помещалася, родителей твоих... нынче ее садоводу",Л. М. Леонов. Русский лес (1950-1953),Л. М. Леонов,1899,Русский лес,1950-1953,художественная,роман,,Леонов Л. М. Русский лес,1970,книга,омонимия снята автоматически,"В твою-то пору там спаленка ихняя помещалася, родителей твоих... нынче ее садоводу Дидякину отдали с семейством. ",76890:631:6,anim sing femn
1252, имачо дереп еовачрук и еоселеб отч,иминхи,что белесое и курчавое перед очами ,ихними, ,"является не что иное, как дым",Л. М. Леонов. Русский лес (1950-1953),Л. М. Леонов,1899,Русский лес,1950-1953,художественная,роман,,Леонов Л. М. Русский лес,1970,книга,омонимия снята автоматически,"Еще накануне, ужасно возбужденный видом пламени, он приставал к пассажирам с разъяснениями, что белесое и курчавое перед очами ихними является не что иное, как дым, а вкрапленный в него багрец и есть самый огонь, плоть от плоти пылания гееннского, причем грешничкам в аду еще пожарче будет! ",76890:1570:18,inan sing masc
1253, икнат ан ...екжамуб ан оге я,еинхи,я его на бумажке... на танки ,ихние, ,наклеивал. ,Л. М. Леонов. Русский лес (1950-1953),Л. М. Леонов,1899,Русский лес,1950-1953,художественная,роман,,Леонов Л. М. Русский лес,1970,книга,омонимия снята автоматически,"Зачем, я его на бумажке... на танки ихние наклеивал. ",76890:9401:7,
1254," ,тировог ,ыТ",йинхи,"Ты, говорит, ",ихний, ,"пособник, для Красной Армии припас... а",Л. М. Леонов. Русский лес (1950-1953),Л. М. Леонов,1899,Русский лес,1950-1953,художественная,роман,,Леонов Л. М. Русский лес,1970,книга,омонимия снята автоматически,"Ты, говорит, ихний пособник, для Красной Армии припас... а до витаминов ли ей сейчас, дурак!.. ",76890:9452:2,anim sing masc
1255, рецифО,йинхи,Офицер ,ихний,... ,,Л. М. Леонов. Русский лес (1950-1953),Л. М. Леонов,1899,Русский лес,1950-1953,художественная,роман,,Леонов Л. М. Русский лес,1970,книга,омонимия снята автоматически,Офицер ихний... ,76890:9459:1,
1256," риднамок я мас а ,йом рассимок",йинхи,"комиссар мой, а сам я командир ",ихний, ,являюсь... ,Л. М. Леонов. Русский лес (1950-1953),Л. М. Леонов,1899,Русский лес,1950-1953,художественная,роман,,Леонов Л. М. Русский лес,1970,книга,омонимия снята автоматически,"Ну, это комиссар мой, а сам я командир ихний являюсь... ",76890:10221:8,
1257, и тувиж ыниладгам итэ есв маТ,еинхи,Там все эти магдалины живут и ,ихние, ,"спутники жизни...» -- пояснил Слезнев, изнутри выдавливая",Л. М. Леонов. Русский лес (1950-1953),Л. М. Леонов,1899,Русский лес,1950-1953,художественная,роман,,Леонов Л. М. Русский лес,1970,книга,омонимия снята автоматически,"Там все эти магдалины живут и ихние спутники жизни...» -- пояснил Слезнев, изнутри выдавливая языком щеку и наклеивая бумажку на порез. ",76890:11317:6,inan plur masc
1258, тнасед :еонсапо олед -- ьтялуг сан у,йинхи,у нас гулять -- дело опасное: десант ,ихний, ,"сброшен, человек двадцать пять. ",Л. М. Леонов. Русский лес (1950-1953),Л. М. Леонов,1899,Русский лес,1950-1953,художественная,роман,,Леонов Л. М. Русский лес,1970,книга,омонимия снята автоматически,"Тут у нас гулять -- дело опасное: десант ихний сброшен, человек двадцать пять. ",76890:11733:7,anim sing masc
1259," а ,ывокамиС еилимаф ешаН",еенхи,"Наше фамилие Симаковы, а ",ихнее, ,Ласточкины. ,Л. К. Чуковская. Спуск под воду (1949-1957),Л. К. Чуковская,1907,Спуск под воду,1949-1957,художественная,повесть,,"Нью-Йорк: Изд-во имени Чехова, 1972",1972,книга,омонимия снята автоматически,"Наше фамилие Симаковы, а ихнее Ласточкины. ",73635:1590:4,
1260, ешчул одзароГ,еинхи,Гораздо лучше ,ихние, ,"же поляки: офицеры Беляк, Касацкий. ",К. А. Березкин. Дневник (1949),К. А. Березкин,1830,Дневник,1949,бытовая,"дневник, записные книжки",частная жизнь,"Дневник Кирилла Антоновича Березкина / Публ. Г. Л. Шалагиной. Спб., 2014. 276 с",2014,книга,омонимия снята автоматически,"Гораздо лучше ихние же поляки: офицеры Беляк, Касацкий. ",63550:689:2,anim plur masc
1261," ежу тудуб ылаб отч умотоп ,ыноротс",еинхи,"стороны, потому что балы будут уже ",ихние,", ","я буду, кажется, жить на всем",К. А. Березкин. Дневник (1949),К. А. Березкин,1830,Дневник,1949,бытовая,"дневник, записные книжки",частная жизнь,"Дневник Кирилла Антоновича Березкина / Публ. Г. Л. Шалагиной. Спб., 2014. 276 с",2014,книга,омонимия снята автоматически,"Это хорошо будет, с одной стороны, потому что балы будут уже ихние, я буду, кажется, жить на всем на готовом, жалованье пойдет все на обмундировку, следовательно, мне можно будет скопить небольшой капиталец, что в нынешнее время необходимо. ",63550:1500:11,
1262,,еенхИ,,Ихнее, ,"дело, скажешь? ",В. Ф. Панова. Ясный берег (1949),В. Ф. Панова,1905,Ясный берег,1949,художественная,повесть,,Панова В. Ф. Собр. соч.: В 5 т. Т. 3,1987,книга,омонимия снята автоматически,"Ихнее дело, скажешь? ",23535:54:0,inan sing neut
1263," ан ьсишвичудоп ,идюл ишан еж умот",менхи,"тому же наши люди, подучившись на ",ихнем, ,"заводе, будут впоследствии на своем собственном",В. Ф. Панова. Ясный берег (1949),В. Ф. Панова,1905,Ясный берег,1949,художественная,повесть,,Панова В. Ф. Собр. соч.: В 5 т. Т. 3,1987,книга,омонимия снята автоматически,"И к тому же наши люди, подучившись на ихнем заводе, будут впоследствии на своем собственном заводе как основные кадры, -- тут тоже расчет. ",23535:426:8,inan sing masc
1264," ,мевиж ,угоб авалс ,емзилатипак ирп ен",еинхи,"не при капитализме, слава богу, живем, ",ихние, ,нравы нам не по климату -- мы,В. Ф. Панова. Ясный берег (1949),В. Ф. Панова,1905,Ясный берег,1949,художественная,повесть,,Панова В. Ф. Собр. соч.: В 5 т. Т. 3,1987,книга,омонимия снята автоматически,"Я сам не одобряю, если человек разжигает в себе большой аппетит: не при капитализме, слава богу, живем, ихние нравы нам не по климату -- мы понемножку, в пределах законности! ",23535:586:17,inan plur masc
1265," хикилев о екшылсаноп ьшеанз хыроток ,ил",хинхи,"ли, которых знаешь понаслышке о великих ",ихних, ,"трудах на заводах, в шахтах, в",В. Ф. Панова. Ясный берег (1949),В. Ф. Панова,1905,Ясный берег,1949,художественная,повесть,,Панова В. Ф. Собр. соч.: В 5 т. Т. 3,1987,книга,омонимия снята автоматически,"И по всей земле советской -- люди, с которыми связан едиными чаяньями и делами: сокурсники ли, с которыми учился, однополчане ли, с которыми плечо к плечу отстаивал все, что дорого в жизни, те ли, которых знаешь понаслышке о великих ихних трудах на заводах, в шахтах, в поле... ",23535:4630:38,inan plur masc
1266," иман с он ,аД",йинхи,"Да, но с нами ",ихний, ,"полковник едет, -- сказал майор. ",Константин Симонов. Далеко на востоке (Халхин-гольские записки) (1948-1968),Константин Симонов,1915,Далеко на востоке (Халхин-гольские записки),1948-1968,публицистика | нехудожественная,мемуары,армия и вооруженные конфликты,Симонов К. М. Далеко на востоке. Халхин-гольские записки,1985,книга,омонимия снята автоматически,"Да, но с нами ихний полковник едет, -- сказал майор. ",24200:1181:4,anim sing masc
1267, йомас од там йом А,йенхи,А мой мат до самой ,ихней, ,требухи доходит. ,Ф. В. Гладков. Повесть о детстве (1948),Ф. В. Гладков,1883,Повесть о детстве,1948,художественная,повесть,,Гладков Ф. В. Повесть о детстве,1980,книга,омонимия снята автоматически,А мой мат до самой ихней требухи доходит. ,75527:10273:5,inan sing femn
1268," отч ,олатс матябер укнивон в отэ",йинхи,"это в новинку ребятам стало, что ",ихний, ,товарищ с ними же беседует. ,Константин Филоненко. Дневник (1948),Константин Филоненко,,Дневник,1948,бытовая,"дневник, записные книжки",частная жизнь | армия и вооруженные конфликты,,,электронный текст,омонимия снята автоматически,"Просто это в новинку ребятам стало, что ихний товарищ с ними же беседует. ",20373:430:7,anim sing masc
1269, в ясьтарбозар ен енм ьдев теанз,йенхи,знает ведь мне не разобраться в ,ихней, ,организации. ,Константин Филоненко. Дневник (1948),Константин Филоненко,,Дневник,1948,бытовая,"дневник, записные книжки",частная жизнь | армия и вооруженные конфликты,,,электронный текст,омонимия снята автоматически,Горин знает ведь мне не разобраться в ихней организации. ,20373:640:7,inan sing femn
1270," тов ,идюл еытсорп ишан ино тов",еинхи,"вот они наши простые люди, вот ",ихние, ,"будни, как много хорошего замечательного в",Константин Филоненко. Дневник (1948),Константин Филоненко,,Дневник,1948,бытовая,"дневник, записные книжки",частная жизнь | армия и вооруженные конфликты,,,электронный текст,омонимия снята автоматически,"Ты читаешь и говоришь -- да вот они наши простые люди, вот ихние будни, как много хорошего замечательного в жизни. ",20373:648:11,inan plur 
1271, аласипирп мат енм ьтяпо аниЗ,ююнхи,Зина опять мне там приписала ,ихнюю, ,"Нинку, но я действительно ничего не",А. И. Дмитриев. Дневник (1947),А. И. Дмитриев,1918,Дневник,1947,бытовая | нехудожественная,"дневник, записные книжки",частная жизнь | производство,,,электронный текст,омонимия снята автоматически,"Зина опять мне там приписала ихнюю Нинку, но я действительно ничего не помню. ",74151:2071:5,anim sing femn
1272, отэ -- уребмиб укчонялкс юукьнелам ливатсоп кялоП,йинхи,Поляк поставил маленькую скляночку бимберу -- это ,ихний, ,"самогон, -- и мы повели откровенную беседу. ",С. М. Голицын. Записки беспогонника (1946-1976),С. М. Голицын,1909,Записки беспогонника,1946-1976,художественная,мемуары,частная жизнь | политика и общественная жизнь,"Голицын Сергей. Записки беспогонника. М.: Русскiй Мiръ, 2010",2010,книга,омонимия снята автоматически,"Поляк поставил маленькую скляночку бимберу -- это ихний самогон, -- и мы повели откровенную беседу. ",22772:9315:6,inan sing masc
1273," тут ил ьрац ен ,чиволйахиМ йегреС",йинхи,"Сергей Михайлович, не царь ли тут ",ихний, ,жил или министр? ,С. М. Голицын. Записки беспогонника (1946-1976),С. М. Голицын,1909,Записки беспогонника,1946-1976,художественная,мемуары,частная жизнь | политика и общественная жизнь,"Голицын Сергей. Записки беспогонника. М.: Русскiй Мiръ, 2010",2010,книга,омонимия снята автоматически,"Сергей Михайлович, не царь ли тут ихний жил или министр? ",22772:10462:6,anim sing masc
1274, булк йоводаС аН,йинхи,На Садовой клуб ,ихний,", ",тут недалеко. ,Анатолий Рыбаков. Кортик (1946-1948),Анатолий Рыбаков,1911,Кортик,1946-1948,художественная,повесть,,,,книга,омонимия снята автоматически,"На Садовой клуб ихний, тут недалеко. ",19514:3343:3,
1275," ыбмоб отч ,еинеджебу еоксечиниц и еоньлачеп",еинхи,"печальное и циническое убеждение, что бомбы ",ихние, ,и наши били одинаково метко и,А. А. Баркова. Дневник (1946),А. А. Баркова,1901,Дневник,1946,бытовая,"дневник, записные книжки",частная жизнь | религия | политика и общественная жизнь | искусство и культура | история,"Баркова А. А. Избранное : Из гулаговского архива / сост., подгот. текста и коммент. Л. Н. Таганова и З. Я. Холодовой , вступ. ст. Л. Н. Таганова , обзор архив. следственных дел В. Д. Панова , худож. оформ. Л. А. Куцентовой. - Иваново : Иванов. гос. ун-т, 1992. - 300 с. : ил",1992,книга,омонимия снята автоматически,"В-третьих, эти люди приобрели силой вещей печальное и циническое убеждение, что бомбы ихние и наши били одинаково метко и больно, убеждение для хорошего патриота явно неподходящее. ",74012:153:12,
1276," отч ,ьтарибзар юаничан я и сачйес",еенхи,"сейчас и я начинаю разбирать, что ",ихнее,", ",а что наше. ,А. И. Дмитриев. Дневник (1946),А. И. Дмитриев,1918,Дневник,1946,бытовая | нехудожественная,"дневник, записные книжки",частная жизнь | производство,,,электронный текст,омонимия снята автоматически,"Но глядя на них, сейчас и я начинаю разбирать, что ихнее, а что наше. ",74150:890:10,
1277, алаворитиц адгесв ано ещЕ,огенхи,Еще она всегда цитировала ,ихнего, ,этого… сверхчеловека… ,Н. И. Ильина. Иными глазами. Очерки шанхайской жизни (1946),Н. И. Ильина,1914,Иными глазами. Очерки шанхайской жизни,1946,публицистика,очерк,искусство и культура | частная жизнь | политика и общественная жизнь | история,"Н. И. Ильина. Иными глазами. Шанхай, Эпоха, 1946",1946,книга,омонимия снята автоматически,Еще она всегда цитировала ихнего этого… сверхчеловека… ,22924:2351:4,
1278, ьрепет А,яянхи,А теперь ,ихняя, ,"Леночка служит на каком-то аэродроме, какие-то",Н. И. Ильина. Иными глазами. Очерки шанхайской жизни (1946),Н. И. Ильина,1914,Иными глазами. Очерки шанхайской жизни,1946,публицистика,очерк,искусство и культура | частная жизнь | политика и общественная жизнь | история,"Н. И. Ильина. Иными глазами. Шанхай, Эпоха, 1946",1946,книга,омонимия снята автоматически,"А теперь ихняя Леночка служит на каком-то аэродроме, какие-то пакеты заворачивает, так они -- коктейль. ",22924:2457:2,anim sing femn
1279, ПК,еенхи,КП ,ихнее, -- ,дивизионное. ,Виктор Некрасов. В окопах Сталинграда (1946),Виктор Некрасов,1911,В окопах Сталинграда,1946,художественная,повесть,,В. Некрасов. В окопах Сталинграда,1995,книга,омонимия снята автоматически,КП ихнее -- дивизионное. ,23474:3539:1,
1280," ыноротс йешан с отч ,окьлот овишраП",еинхи,"Паршиво только, что с нашей стороны ",ихние, ,окопы не простреливаются. ,Виктор Некрасов. В окопах Сталинграда (1946),Виктор Некрасов,1911,В окопах Сталинграда,1946,художественная,повесть,,В. Некрасов. В окопах Сталинграда,1995,книга,омонимия снята автоматически,"Паршиво только, что с нашей стороны ихние окопы не простреливаются. ",23474:6635:6,inan plur masc
1281, акшувед окьлоТ,яянхи,Только девушка ,ихняя, ,"не шевелится, то ли умерла, то",В. Я. Пропп. Исторические корни волшебной сказки (1946),В. Я. Пропп,1895,Исторические корни волшебной сказки,1946,учебно-научная | нехудожественная,монография,наука и технологии | филология,В. Я. Пропп. Исторические корни волшебной сказки,1986,книга,омонимия снята автоматически,"Только девушка ихняя не шевелится, то ли умерла, то ли заснула. ",127292:9727:2,
1282, тов А,йинхи,А вот ,ихний, ,"граф, знать, невысоко ценит талант, -- неожиданно",О. Д. Форш. Михайловский замок (1946),О. Д. Форш,1873,Михайловский замок,1946,художественная,роман,,О. Форш. Одеты камнем. Михайловский замок: Романы,1980,книга,омонимия снята автоматически,"А вот ихний граф, знать, невысоко ценит талант, -- неожиданно тонким голосом сказал самокатчик, -- простую баньку им по-черному для людей заказал выстроить, это после расчудесного их дворца! ",75273:939:2,anim sing masc
1283, йишчулиан монозинраг даН,йинхи,Над гарнизоном наилучший ,ихний, ,паша -- Акдос-Мохмет. ,О. Д. Форш. Михайловский замок (1946),О. Д. Форш,1873,Михайловский замок,1946,художественная,роман,,О. Форш. Одеты камнем. Михайловский замок: Романы,1980,книга,омонимия снята автоматически,Над гарнизоном наилучший ихний паша -- Акдос-Мохмет. ,75273:2086:3,anim sing 
1284, я :ястяоб янем ино ярз ен,огенхи,не зря они меня боятся: я ,ихнего, ,венского кабинета слушать не стану. ,О. Д. Форш. Михайловский замок (1946),О. Д. Форш,1873,Михайловский замок,1946,художественная,роман,,О. Форш. Одеты камнем. Михайловский замок: Романы,1980,книга,омонимия снята автоматически,И не зря они меня боятся: я ихнего венского кабинета слушать не стану. ,75273:2222:7,inan sing masc
1285," укуан ,ьсолазако ,хи ешчул но -- ремирп",ююнхи,"пример -- он лучше их, оказалось, науку ",ихнюю, ,знает и сметкой всех превзошел. ,О. Д. Форш. Михайловский замок (1946),О. Д. Форш,1873,Михайловский замок,1946,художественная,роман,,О. Форш. Одеты камнем. Михайловский замок: Романы,1980,книга,омонимия снята автоматически,"И ведь не для видимости дал Суворов саперам пример -- он лучше их, оказалось, науку ихнюю знает и сметкой всех превзошел. ",75273:2596:14,inan sing femn
1286, йонм ос лахЕ,йинхи,Ехал со мной ,ихний, ,военный с женой. ,А. П. Цветков. Дневник (1946),А. П. Цветков,1904,Дневник,1946,бытовая,"дневник, записные книжки",частная жизнь,,,электронный текст,омонимия снята автоматически,Ехал со мной ихний военный с женой. ,21492:72:3,anim sing femn
1287, цетарБ,йинхи,Братец ,ихний,", ","Сема, агентом работает -- жуликов ловит... ",Александр Галич. Матросская тишина (1945-1956),Александр Галич,1918,Матросская тишина,1945-1956,художественная,пьеса,,Александр Галич. Матросская тишина,2005,книга,омонимия снята автоматически,"Братец ихний, Сема, агентом работает -- жуликов ловит... ",21645:83:1,inan sing femn
1288, от-еикаК,еинхи,Какие-то ,ихние, ,кончаются. ,Б. Л. Пастернак. Доктор Живаго (1945-1955),Б. Л. Пастернак,1890,Доктор Живаго,1945-1955,художественная,роман,,Борис Пастернак. Доктор Живаго,1990,книга,омонимия снята автоматически,Какие-то ихние кончаются. ,126688:1408:1,
1289, тидохдоп масел митнэ к ьшишылс ьрепеТ,йинхи,Теперь слышишь к энтим лесам подходит ,ихний, ,сотник Гулевой. ,Б. Л. Пастернак. Доктор Живаго (1945-1955),Б. Л. Пастернак,1890,Доктор Живаго,1945-1955,художественная,роман,,Борис Пастернак. Доктор Живаго,1990,книга,омонимия снята автоматически,Теперь слышишь к энтим лесам подходит ихний сотник Гулевой. ,126688:9705:6,anim sing masc
1290, тоВ,еинхи,Вот ,ихние, ,делегаты. ,Б. Л. Пастернак. Доктор Живаго (1945-1955),Б. Л. Пастернак,1890,Доктор Живаго,1945-1955,художественная,роман,,Борис Пастернак. Доктор Живаго,1990,книга,омонимия снята автоматически,Вот ихние делегаты. ,126688:9708:1,anim plur masc
1291," к ,еынсарк ишан ,ьтсе от ,ым",уменхи,"мы, то есть, наши красные, к ",ихнему, ,"главному городу белому подходить, этот самый",Б. Л. Пастернак. Доктор Живаго (1945-1955),Б. Л. Пастернак,1890,Доктор Живаго,1945-1955,художественная,роман,,Борис Пастернак. Доктор Живаго,1990,книга,омонимия снята автоматически,"Когда стали мы, то есть, наши красные, к ихнему главному городу белому подходить, этот самый Комаров министр посадил маменьку со всей ихнею семьей в особенный поезд литерный и приказали увезть, ведь маменька были пуганые и без них не смели шагу ступить. ",126688:14660:8,inan sing masc
1292, еж йокак отЭ,йенхи,Это какой же ,ихней, ,губернии город будет? ,Б. Л. Горбатов. Дорога на Берлин (1945),Б. Л. Горбатов,1908,Дорога на Берлин,1945,художественная,киноповесть,,Горбатов Б. Л. Непокоренные: Избранные произведения,1985,книга,омонимия снята автоматически,Это какой же ихней губернии город будет? ,75606:1200:3,inan sing femn
1293, туТ,яянхи,Тут ,ихняя, ,Гестапа много людей похватала. ,Н. С. Покровская. Дневник русской женщины. 1929--1945 гг. (1945),Н. С. Покровская,1906,Дневник русской женщины. 1929--1945 гг.,1945,бытовая | нехудожественная,"дневник, записные книжки",частная жизнь | армия и вооруженные конфликты | администрация и управление,"Покровская Н. С. Дневник русской женщины. 1929--1945 гг. М.: Культурно-просветительский центр «Преображение», 2011. Т. 1.",2011,книга,омонимия снята автоматически,Тут ихняя Гестапа много людей похватала. ,74609:2241:1,inan sing femn
1294,,яянхИ,,Ихняя, ,авдеевская порода вся бесноватая... ,В. Ф. Панова. Евдокия (1944-1959),В. Ф. Панова,1905,Евдокия,1944-1959,художественная,повесть,,Панова В. Ф. Собр. соч.: В 5 т. Т. 1,1987,книга,омонимия снята автоматически,Ихняя авдеевская порода вся бесноватая... ,23531:202:0,inan sing femn
1295," еларУ ан а ,ларУ ьтсЕ",йинхи,"Есть Урал, а на Урале ",ихний, ,"город, еще Челябинск, Пермь, Свердловск и",В. Ф. Панова. Евдокия (1944-1959),В. Ф. Панова,1905,Евдокия,1944-1959,художественная,повесть,,Панова В. Ф. Собр. соч.: В 5 т. Т. 1,1987,книга,омонимия снята автоматически,"Есть Урал, а на Урале ихний город, еще Челябинск, Пермь, Свердловск и разные не столь большие поселения, вроде Курьи, где Евдокия в былые времена покупала сено для коровы. ",23531:1861:5,inan sing masc
1296, от-йокак в моклис иливарптО,йинхи,Отправили силком в какой-то ,ихний, ,страшный детский изолятор. ,В. П. Катаев. Сын полка (1944),В. П. Катаев,1897,Сын полка,1944,художественная,сказка,,Катаев В. Сын полка,1981,книга,омонимия снята автоматически,Отправили силком в какой-то ихний страшный детский изолятор. ,76316:407:4,inan sing masc
1297, кичдевзаР,йинхи,Разведчик ,ихний,. ,,В. П. Катаев. Сын полка (1944),В. П. Катаев,1897,Сын полка,1944,художественная,сказка,,Катаев В. Сын полка,1981,книга,омонимия снята автоматически,Разведчик ихний. ,76316:1569:1,
1298," меч ,ьтсапорп ешчуЛ",еинхи,"Лучше пропасть, чем ",ихние, ,сапоги лизать или просто так небо,А. А. Фадеев. Молодая гвардия (1943-1951),А. А. Фадеев,1901,Молодая гвардия,1943-1951,художественная,роман,,А. Фадеев. Молодая гвардия,1967,книга,омонимия снята автоматически,"Лучше пропасть, чем ихние сапоги лизать или просто так небо коптить. ",75207:2142:3,inan plur masc
